description,price,image,market
Servilletas FELPITA De Mesa 33x30 Paquete 40 Unidades,"$939,82",https://static.cotodigital3.com.ar/sitios/fotos/medium/00267800/00267862.jpg?3.0.165,Coto
Desmaquillador ESTRELLA Discos 80u,"$1.934,99",https://static.cotodigital3.com.ar/sitios/fotos/medium/00012200/00012248.jpg?3.0.165,Coto
Palitos Para Brochette IDEAL Paq 25 Uni,"$605,10",https://static.cotodigital3.com.ar/sitios/fotos/medium/00255100/00255139.jpg?3.0.165,Coto
Leñitas Encendido Humos Ata 12 Uni,"$649,00",https://static.cotodigital3.com.ar/sitios/fotos/medium/00497400/00497431.jpg?3.0.165,Coto
Palitos P/Brochettes Iberia Bli 25 Uni,"$636,63",https://static.cotodigital3.com.ar/sitios/fotos/medium/00029700/00029764.jpg?3.0.165,Coto
Protectores Diarios Normal Calipso 80u,"$2.076,52",https://static.cotodigital3.com.ar/sitios/fotos/medium/00571000/00571018.jpg?3.0.165,Coto
Invisibles TAO Bli 24 Uni,"$679,99",https://static.cotodigital3.com.ar/sitios/fotos/medium/00191900/00191997.jpg?3.0.165,Coto
LYSOL Toallitas Desinfectantes Brisa De La Mañana 36 Unid.,"$1.063,96",https://static.cotodigital3.com.ar/sitios/fotos/medium/00525800/00525894.jpg?3.0.165,Coto
LYSOL Toallitas Desinfectantes Frescura Marina 36 Unid.,"$1.063,96",https://static.cotodigital3.com.ar/sitios/fotos/medium/00525800/00525893.jpg?3.0.165,Coto
Papel Glace Luma Metalizado 10 Hojas,"$299,00",https://static.cotodigital3.com.ar/sitios/fotos/medium/00178800/00178821.jpg?3.0.165,Coto
Filtro Para Cafe Domestic Nro 4 Paq 100,"$3.119,00",https://static.cotodigital3.com.ar/sitios/fotos/medium/00066900/00066993.jpg?3.0.165,Coto
Sobre Para Tarjeta Personal N°3 Medoro 70 Gr X 20,"$629,00",https://static.cotodigital3.com.ar/sitios/fotos/medium/00524500/00524561.jpg?3.0.165,Coto
.Clavos De Hierro 8 X 20 -67 -,"$1.599,00",https://static.cotodigital3.com.ar/sitios/fotos/medium/00050200/00050227.jpg?3.0.165,Coto
