description,price,image,market,brand
Modulo 2 cuerpos línea industrial,"$ 85.819,00",https://carrefourar.vtexassets.com/arquivos/ids/315618-170-170?v=638175094875270000&width=170&height=170&aspect=true,Carrefour,
Sillon oficina Carrefour Home gamer pro negro,"$ 199.900,00",https://carrefourar.vtexassets.com/arquivos/ids/418232-170-170?v=638358482272200000&width=170&height=170&aspect=true,Carrefour,
Taburete plegable Carrefour Home con respaldo rojo,"$ 9.900,00",https://carrefourar.vtexassets.com/arquivos/ids/255447-170-170?v=637980935812670000&width=170&height=170&aspect=true,Carrefour,
Modulo 1 cuerpo línea industrial,"$ 62.079,00",https://carrefourar.vtexassets.com/arquivos/ids/315642-170-170?v=638175094997170000&width=170&height=170&aspect=true,Carrefour,
Silla de oficina Carrefour Home tela gris,"$ 99.900,00",https://carrefourar.vtexassets.com/arquivos/ids/345717-170-170?v=638230486170970000&width=170&height=170&aspect=true,Carrefour,
Biblioteca Lisboa 5 estantes paraíso y blanco,"$ 59.900,00",https://carrefourar.vtexassets.com/arquivos/ids/165115-170-170?v=637467717735900000&width=170&height=170&aspect=true,Carrefour,
Banqueta Carrefour Home caño plegable verde,"$ 8.900,00",https://carrefourar.vtexassets.com/arquivos/ids/324190-170-170?v=638197689717170000&width=170&height=170&aspect=true,Carrefour,
Organizador Centro Estant 6 espacios blanco,"$ 67.900,00",https://carrefourar.vtexassets.com/arquivos/ids/199203-170-170?v=637535958866430000&width=170&height=170&aspect=true,Carrefour,
Estante kit Centro Estant con soporte 60 x 20 cm. wengué,"$ 11.559,00",https://carrefourar.vtexassets.com/arquivos/ids/165009-170-170?v=637467716820730000&width=170&height=170&aspect=true,Carrefour,
"Rack tv Centro Estant blanco tv hasta 55""","$ 89.900,00",https://carrefourar.vtexassets.com/arquivos/ids/337394-170-170?v=638221802141330000&width=170&height=170&aspect=true,Carrefour,
Mesa de luz con cajón blanca,"$ 55.900,00",https://carrefourar.vtexassets.com/arquivos/ids/315608-170-170?v=638175094796270000&width=170&height=170&aspect=true,Carrefour,
Organizador Centro Estant ORBL blanco,"$ 51.900,00",https://carrefourar.vtexassets.com/arquivos/ids/199071-170-170?v=637535958185830000&width=170&height=170&aspect=true,Carrefour,
Mesa para TV Dielfe Industrial RE141,"$ 85.999,00",https://carrefourar.vtexassets.com/arquivos/ids/165038-170-170?v=637467717082730000&width=170&height=170&aspect=true,Carrefour,
Modulo 2 puertas T6BL Blanco,"$ 62.900,00",https://carrefourar.vtexassets.com/arquivos/ids/165007-170-170?v=637467716806670000&width=170&height=170&aspect=true,Carrefour,
Silla comedor Carrefour Home blanca pp,"$ 34.900,00",https://carrefourar.vtexassets.com/arquivos/ids/418239-170-170?v=638358482359830000&width=170&height=170&aspect=true,Carrefour,
Aceite de maíz Mazola clásico pet 900 cc.,"$ 2.585,00",https://carrefourar.vtexassets.com/arquivos/ids/332918-170-170?v=638212187538200000&width=170&height=170&aspect=true,Carrefour,MAZOLA
Aceite de girasol Alsamar 900 cc.,"$ 1.400,00",https://carrefourar.vtexassets.com/arquivos/ids/386415-170-170?v=638318587397530000&width=170&height=170&aspect=true,Carrefour,
Aceto Lira pet 250 cc.,"$ 2.200,00",https://carrefourar.vtexassets.com/arquivos/ids/312494-170-170?v=638163243607970000&width=170&height=170&aspect=true,Carrefour,LIRA
Jugo de limón Minerva pet 250 cc.,"$ 599,00",https://carrefourar.vtexassets.com/arquivos/ids/182590-170-170?v=637468589438630000&width=170&height=170&aspect=true,Carrefour,MINERVA
Vinagre de vino Menoyo 500 cc.,"$ 1.255,00",https://carrefourar.vtexassets.com/arquivos/ids/209175-170-170?v=637643048815900000&width=170&height=170&aspect=true,Carrefour,MENOYO
Aceto reducción Lira pet 250 cc.,"$ 2.750,00",https://carrefourar.vtexassets.com/arquivos/ids/312440-170-170?v=638163243432370000&width=170&height=170&aspect=true,Carrefour,LIRA
Vinagre de alcohol Favinco pet 1 l.,"$ 916,00",https://carrefourar.vtexassets.com/arquivos/ids/231783-170-170?v=637753489949630000&width=170&height=170&aspect=true,Carrefour,FAVINCO
Aceto reducción Lira pet 500 cc.,"$ 5.225,00",https://carrefourar.vtexassets.com/arquivos/ids/312464-170-170?v=638163243515330000&width=170&height=170&aspect=true,Carrefour,LIRA
Aceite de oliva Nucete extra virgen 500 cc.,"$ 7.500,00",https://carrefourar.vtexassets.com/arquivos/ids/256443-170-170?v=637987835475770000&width=170&height=170&aspect=true,Carrefour,NUCETE
Aceite de girasol Cocinero plus 1.5 l.,"$ 3.060,00",https://carrefourar.vtexassets.com/arquivos/ids/155432-170-170?v=637457062452100000&width=170&height=170&aspect=true,Carrefour,COCINERO
Vinagre de vino Menoyo 1 l.,"$ 1.890,00",https://carrefourar.vtexassets.com/arquivos/ids/209173-170-170?v=637643047497130000&width=170&height=170&aspect=true,Carrefour,MENOYO
Aceite de oliva extra virgen Cocinero intenso 500 cc.,"$ 8.325,00",https://carrefourar.vtexassets.com/arquivos/ids/204442-170-170?v=637592983639200000&width=170&height=170&aspect=true,Carrefour,COCINERO
Aceite mezcla Cocinero girasol oliva pet 900 ml.,"$ 3.550,00",https://carrefourar.vtexassets.com/arquivos/ids/254582-170-170?v=637974856232000000&width=170&height=170&aspect=true,Carrefour,COCINERO
Aceite de girasol Cocinero ecobotella 900 cc.,"$ 1.800,00",https://carrefourar.vtexassets.com/arquivos/ids/422953-170-170?v=638373948257230000&width=170&height=170&aspect=true,Carrefour,COCINERO
Jugo de limón Menoyo 250 cc.,"$ 608,00",https://carrefourar.vtexassets.com/arquivos/ids/209178-170-170?v=637643050693230000&width=170&height=170&aspect=true,Carrefour,MENOYO
Aceto reducción ahumado Menoyo 250 cc.,"$ 2.150,00",https://carrefourar.vtexassets.com/arquivos/ids/217089-170-170?v=637697370601230000&width=170&height=170&aspect=true,Carrefour,MENOYO
"Smart tv 55"" Samsung 4k neo qled qn55qn85cagczb","$ 2.419.999,00",https://carrefourar.vtexassets.com/arquivos/ids/372511-170-170?v=638303134073000000&width=170&height=170&aspect=true,Carrefour,SAMSUNG
Cable HDMI Noga 3 Mts,"$ 3.599,00",https://carrefourar.vtexassets.com/arquivos/ids/322000-170-170?v=638189266951130000&width=170&height=170&aspect=true,Carrefour,
"Smart TV android 75"" Philips 4K 75PUD8507 77","$ 1.499.999,00",https://carrefourar.vtexassets.com/arquivos/ids/262529-170-170?v=638035187266370000&width=170&height=170&aspect=true,Carrefour,77
"Soporte movil lcd/led de 26"" a 60""","$ 69.900,00",https://carrefourar.vtexassets.com/arquivos/ids/156881-170-170?v=637467542754730000&width=170&height=170&aspect=true,Carrefour,
Control remoto WIZ smart con baterías,"$ 17.890,00",https://carrefourar.vtexassets.com/arquivos/ids/253331-170-170?v=637951614450300000&width=170&height=170&aspect=true,Carrefour,
"Soporte de TV para Pared 10"" A 42""","$ 19.900,00",https://carrefourar.vtexassets.com/arquivos/ids/156812-170-170?v=637467542130030000&width=170&height=170&aspect=true,Carrefour,
"Smart tv android 32"" TCL fhd l32s5400","$ 299.999,00",https://carrefourar.vtexassets.com/arquivos/ids/422889-170-170?v=638373192774900000&width=170&height=170&aspect=true,Carrefour,TCL
Cable HDMI Noga 5 Mts,"$ 5.599,00",https://carrefourar.vtexassets.com/arquivos/ids/322001-170-170?v=638189266959370000&width=170&height=170&aspect=true,Carrefour,
"Soporte de TV para Pared con Brazo 17"" A 42""","$ 25.900,00",https://carrefourar.vtexassets.com/arquivos/ids/156608-170-170?v=637467462546100000&width=170&height=170&aspect=true,Carrefour,
"Smart TV UHD 4K 50"" BGH GOOGLE TV B5023US6G","$ 506.999,00",https://carrefourar.vtexassets.com/arquivos/ids/420676-170-170?v=638363545376200000&width=170&height=170&aspect=true,Carrefour,BGH
"Smart tv miniled android 65"" TCL 4k 65 c835","$ 1.499.999,00",https://carrefourar.vtexassets.com/arquivos/ids/419836-170-170?v=638361974360530000&width=170&height=170&aspect=true,Carrefour,TCL
"Soporte de TV para Pared Fijo One For All 19"" a 42"" WM4221","$ 10.900,00",https://carrefourar.vtexassets.com/arquivos/ids/156893-170-170?v=637467542861230000&width=170&height=170&aspect=true,Carrefour,
"Soporte fijo TGW lcd/led de 13"" a 42"" HSTV81S","$ 17.900,00",https://carrefourar.vtexassets.com/arquivos/ids/156880-170-170?v=637467542746270000&width=170&height=170&aspect=true,Carrefour,
"Soporte de TV para Pared con Doble Brazo 17"" A 42""","$ 31.900,00",https://carrefourar.vtexassets.com/arquivos/ids/156813-170-170?v=637467542138470000&width=170&height=170&aspect=true,Carrefour,
Smart TV LED HD 32'' TELEFUNKEN VIDAA TK3223H5,"$ 216.999,00",https://carrefourar.vtexassets.com/arquivos/ids/373213-170-170?v=638306401554470000&width=170&height=170&aspect=true,Carrefour,
"Smart TV LED FHD 43"" TELEFUNKEN VIDAA TK4323FH5","$ 445.999,00",https://carrefourar.vtexassets.com/arquivos/ids/374300-170-170?v=638308401908230000&width=170&height=170&aspect=true,Carrefour,
Mesa ratona Carrefour Home con tapa elevable de mdf de 15 mm.,"$ 99.900,00",https://carrefourar.vtexassets.com/arquivos/ids/261455-170-170?v=638029316638430000&width=170&height=170&aspect=true,Carrefour,
Taburete plegable Carrefour Home con respaldo verde,"$ 9.900,00",https://carrefourar.vtexassets.com/arquivos/ids/255448-170-170?v=637980935820470000&width=170&height=170&aspect=true,Carrefour,
Set escritorio y silla plegable Carrefour Home blanco,"$ 54.900,00",https://carrefourar.vtexassets.com/arquivos/ids/353306-170-170?v=638249612765130000&width=170&height=170&aspect=true,Carrefour,
Banqueta Carrefour Home caño plegable roja,"$ 8.900,00",https://carrefourar.vtexassets.com/arquivos/ids/274483-170-170?v=638118969685930000&width=170&height=170&aspect=true,Carrefour,
Escritorio plegable Carrefour Home negro,"$ 59.900,00",https://carrefourar.vtexassets.com/arquivos/ids/319885-170-170?v=638183054562530000&width=170&height=170&aspect=true,Carrefour,
Estanteria industrial dielfe dos puertas,"$ 239.900,00",https://carrefourar.vtexassets.com/arquivos/ids/346153-170-170?v=638233966869000000&width=170&height=170&aspect=true,Carrefour,
